股票代码_firm_id,供应链年份_year,行业_industry,核心企业代码_core,标签_label,总资产净利率ROA_var1,总资产报酬率ROA_var2,净资产收益率ROE_var3,销售净利率_var4,成本费用利润率_var5,营业利润／营业总收入_var6,资产负债率_var7,流动比率_var8,速动比率_var9,现金比率_var10,现金流量利息保障倍数_var11,营业收入净含量=经活现流净÷营总收_var12,经活现流净÷流负_var13,带息负债率_var14,总资产周转率_var15,净资产周转率_var16,现金周转率_var17,营运资金周转率_var18,基本每股收益（同比增长率）_var19,总资产（同比增长率）_var20,净资产（同比增长率）_var21,净利润（同比增长率）_var22,经营活动产生的现金流量净额（同比增长率）_var23,营业总收入（同比增长率）_var24,利润总额（同比增长率）_var25,研发人员数量占比_var26,研发投入总额占营业收入比例_var27,本科生人数占比_var28,ln(上市天数)_var29,应收账款周转率_var30,存货周转率_var31,营业周期_var32,净营业周期_var33,应收账坏账比例=应收账坏准÷总应收账_var34,存货跌价比例=存货跌准÷总存货_var35,预付账款÷流资_var36,核心企业总资产（同比增长率）_var37,核心企业总资产净利率ROA_var38,核心企业总资产报酬率ROA_var39,核心企业净资产收益率ROE_var40,核心企业总资产周转率_var41,核心企业现金比率_var42,核心企业营业利润／营业总收入_var43,核心企业资产负债率_var44,核心企业流动比率_var45,核心企业速动比率_var46,核心企业ln(资产总计)_var47,核心企业ln（经营活动产生的现金流量净额）_var48,行业流动比率_var49,行业速动比率_var50,行业利息保障倍数A_var51,行业资产负债率_var52,行业资产报酬率B_var53,行业总资产净利润率(ROA)B_var54,行业净资产收益率B_var55,行业总资产增长率_var56,行业净利润增长率_var57,客户集中度1_var58,供应商集中度1_var59,客户集中度2_var60,供应商集中度2_var61,客户集中度3_var62,供应商集中度3_var63,供应链集中度_var64,销售额/采购额占比_var65,信息化水平_var66,协同处理能力_var67
838171,2017,C36,600361,0,23.1408,26.542,29.44,20.3821,28.8534,23.3468,27.1811,2.3028,1.5901,88.0567,7714.239,26.5568360593437,103.617327335862,37.8485,1.1353,1.5334,563.4477,3.3927,32.4324,13.9195,9.9292,32.6982,110.2681,24.6022,31.1184,13.32815,6.1492,8.4951,0.0,6.5909,3.5237,156.7861,106.3864,13.0762055804831,7.60179194782741,0.671454583073633,-10.3998,0.7315,1.6392,2.95,1.1428,68.2131,2.6606,71.8672,1.0085,0.7042,22.9852473001342,20.2676239878308,1.146231,0.977804,18.827385,0.591203,0.058552,0.054998,0.134331,0.177474,0.071422,21.05,15.51,56.5,54.06,7.808104,6.166492,55.28,15.51,0.249739029791696,5.09985
300402,2017,C33,600456,0,0.8056,1.7953,1.76,2.3947,2.0674,-2.2996,52.9768,1.1649,0.6596,12.9797,266.1112,8.24752303390347,5.53643360924408,36.6354,0.3364,0.7329,975.8846,2.8864,110.2041,-3.0175,1.7706,110.579,154.6152,74.2747,110.1015,23.8,3.61,19.7388,7.07157336421153,1.6663,1.3318,486.3584,319.8767,19.8653332737694,2.25821438276105,7.28537292105165,-0.5247,0.5048,2.5292,0.6279,0.4158,36.9476,1.5543,45.9165,2.2804,1.252,22.6547347607838,19.1899131005239,1.27305,0.949869,4.346656,0.558782,0.044018,0.03164,0.072826,0.087111,0.602748,9.16,12.19,37.21,34.54,2.835357,2.8183,35.88,12.19,0.399759407659239,1.2784985
836957,2017,C26,600500,0,12.1287,13.7983,21.22,7.2554,8.9644,8.3702,54.3363,1.544,1.405,65.4475,13576.077,7.10481131550738,17.6366033898594,0.3881,1.6717,2.8642,550.7184,4.2901,-9.6774,61.9076,-6.0336,-6.8399,68.9696,15.1761,-8.8304,15.76,2.6334,11.2069,0.0,6.8285,18.2028,72.4974,47.6362,5.60934999698179,10.2293805743046,0.52186836885747,3.4304,2.5848,4.9805,5.25,1.1812,38.2663,3.2532,62.2612,1.4723,1.1141,24.7443343959741,20.5899262977111,1.08527,0.83541,4.856513,0.52855,0.061531,0.046431,0.099528,0.115648,1.036995,2.6558,43.64,10.7122,79.41,0.24968258,22.396679,44.23,7.29,0.13050210502961,13.9431
831832,2017,I65,600582,0,4.6163,5.9192,6.45,9.8439,1.7456,12.0376,30.3142,2.857,2.042,16.3193,-381.5485,-5.81834506223686,-9.3015565831797,51.5065,0.469,0.6564,1568.6656,0.8855,300.0,3.3957,-7.8689,518.9983,-151.1142,41.6647,300.0951,31.75,3.9826,34.2342,0.0,0.9806,1.8798,558.6319,476.8472,26.6990970951214,1.0452217564231,6.6381751806189,3.0139,3.2808,4.46,6.5,0.4285,34.0456,9.1556,45.7774,2.1264,1.6047,24.3185133570871,20.9022745598525,1.872884,1.582274,19.207956,0.375062,0.052537,0.049427,0.077277,0.190871,0.016995,7.27,7.62,28.48,25.51,1.663316,1.393059,27.0,7.62,0.200163250365431,2.0308
871634,2017,C33,600694,0,9.0048,13.5263,14.0,1.9288,2.1461,1.7867,37.6298,2.3118,1.0804,8.5491,-450.2202,-3.56367639288475,-40.9466857286599,50.5176,2.304364,6.18009000000001,8155.849909,10.8477,0.0,36.7505,43.7987,99.3543,-222.1207,104.6024,69.3862,16.545,2.8733,14.1026,0.0,15.2365,12.0432,53.5199,49.0903,5.33860123105518,0.0,2.49071128530949,-1.6384,4.7782,7.7401,12.05,1.5034,59.2357,5.0366,56.587,1.2181,0.6945,23.5935466620292,19.1030950247044,1.27305,0.949869,4.346656,0.558782,0.044018,0.03164,0.072826,0.087111,0.602748,9.99,27.84,27.87,61.76,1.808171,11.959486,44.82,4.86,0.375795662087772,10.78165
300651,2017,C24,600736,1,6.5651,8.1335,8.5,13.0696,18.2491,16.4488,27.7149,1.8938,0.9882,33.7634,-103.5043,-0.95897787813366,-1.39415796144518,55.3588,0.5023,0.7002,554.8664,2.1223,-22.4825,73.1315,76.7864,-5.2531,-107.4484,1.7993,-6.0007,17.46,3.928,17.8715,5.46383180502561,2.6047,2.5031,282.0334,199.2405,11.6501717707847,2.87592955151167,3.9512407482097,28.9899,4.2051,6.7662,10.22,0.2666,14.2478,20.9758,64.0463,1.4524,0.5519,23.9958076666202,22.1453887889316,1.744065,1.326898,10.743302,0.32485665,0.051894,0.046339,0.06983,0.137215,-0.156566,5.33,4.93,17.92,16.85,0.692224,0.604977,17.39,3.23,0.377143726813267,1.51225
300430,2017,C40,600866,0,6.2644,7.0865,7.3,16.0198,22.2775,18.3473,19.2049,3.1757,1.9308,76.3274,-4518.0264,-3.90137965222922,-6.14693871372463,4.4111,0.391,0.5073,332.7902,0.9174,48.5714,101.8385,134.0763,65.4903,6.3507,48.8049,66.4677,25.26,5.15,26.3746,6.92559519711047,2.1821,1.0734,500.3616,407.6713,8.71868770607309,0.357077566454734,5.00227491113115,-15.2957,-7.536178,-6.017576,-15.93,0.4349,42.2757,-11.857822,36.8999,1.2523,0.6988,21.7280719822673,17.505640102889,1.967189,1.678323,12.493846,0.406754,0.067353,0.061115,0.100825,0.252609,0.521606,7.08,7.32,26.07,18.1,1.474987,0.850346,22.09,4.19,0.358306190222636,1.7933
300392,2017,L72,600887,0,-9.1503,-8.1306,-25.33,-8.4595,-9.8448,-8.6295,69.7399,1.0428,0.7549,4.2448,-127.1876,-2.93848069519163,-4.36880870489775,38.4275,1.0817,2.9905,2610.4692,8.6318,47.8261,9.1155,-22.48,48.3999,-765.4727,20.3997,48.1744,29.67,2.74,63.1579,7.09672137849476,2.6993,3.07745,133.3679,10.8397,6.23236448998953,2.2978880064975,15.2312700071929,25.5667,13.5561,16.2198,25.22,1.5254,91.5012,10.4556,48.804,1.2514,0.9646,24.6211971252336,22.670075178604,1.320135,1.082281,6.915413,0.559409,0.051256,0.041697,0.094548,0.126955,-0.110996,43.37,25.12,75.23,73.3,21.782293,12.192489,74.27,43.37,0.0777329550469092,6.263625
834021,2017,I63,600959,0,12.2357,14.3226,16.85,12.4502,16.8017,14.4554,24.852,3.4984,3.0142,171.936,3018.8724,7.10437306135386,26.446572302545,4.1714,0.9828,1.3109,219.219,1.6227,23.8333,13.5866,17.5966,32.7851,160.8584,10.2715,30.9612,32.93,1.88,64.0244,0.0,3.6176,9.541,137.2454,137.2454,1.86077226387259,4.58536048886496,1.93535651463184,1.716,3.4553,3.3723,5.95,0.2535,67.322,11.9501,31.7539,0.9391,0.7729,24.1953406218743,21.7399854625763,0.77078232,0.64046354,3.105669,0.442764,0.016506,0.010431,0.021106,-0.00999586,0.005469,17.75,23.95,46.58,58.69,5.348072,11.177901,52.64,1.825,0.112139862901396,7.7181
300434,2017,C27,600998,0,6.4624,8.8761,8.44,16.5801,26.9526,21.0563,18.377,1.6778,1.1691,41.6695,1671.2379,24.5481261946896,37.354907499087,12.6967,0.3898,0.4762,552.9125,2.5563,247.3684,200.006939,318.389097,363.9437,586.9512,195.970524,419.9911,14.87,2.8,21.4199,6.88959130835447,22.3955,2.9871,136.5929,70.6962,19.6039024038399,0.470361552020789,1.91800325574093,34.3928,3.2451,5.7145,10.75,1.6291,27.819,2.6258,62.4627,1.416,0.9305,24.675438999402,-20.7352394434774,1.970687,1.484069,14.054388,0.371473,0.084045,0.076903,0.120746,0.156192,0.202526,6.55,7.9,23.27,24.66,1.135779,1.368154,23.97,4.77,0.215516817375046,4.525
